id,name,name_local,country,region,municipality,population_current,population_scale,purpose,theme,start_year,end_year,status_current,actor_type,lead_actor,component_types,components,latest_source_year,elapsed_years,follow_up,follow_up_note,single_outlet,self_reported,source_count,source_urls,unknown_fields,image_url,image_credit,last_verified,url
de-0001,閉鎖した空港を更地のまま市民に開き続けている,Tempelhofer Feld,ドイツ,ベルリン州,Berlin,3700577,25万超,空間をひらく,自然・緑地・水辺,2010,,継続中,住民組織,"Initiative „100 Prozent Tempelhofer Feld""",soft,空港跡地を更地のまま公園にした｜住民投票で建設計画を否決した｜市民発意の法律で建設を禁じた,2025,15,濃い,2010年5月に公園として開かれ、2014年5月25日の住民投票で約65%が建設に反対して計画は否決された。その後も建設を求める動きは続き、2018年と2019年に縁辺部への建設案が出て、2023年12月には州政府が市民工房と設計競技を進める方針を示した。2025年8月には州首相が2026年にも住民に問い直したいと述べている。,,,6,https://taz.de/Volksentscheid-Tempelhofer-Feld/!5041417/｜https://www.tagesspiegel.de/berlin/trotz-volksentscheid-bauen-auf-dem-tempelhofer-feld/23649592.html｜https://www.tagesspiegel.de/berlin/initiative-will-neuen-volksentscheid-zum-tempelhofer-feld-5047498.html｜https://taz.de/Bebauung-des-Tempelhofer-Feldes/!5978415/｜https://taz.de/10-Jahre-Volksentscheid-Tempelhofer-Feld/!6012290/｜https://www.nd-aktuell.de/artikel/1193066.volksentscheid-tempelhofer-feld-abstimmen-bis-das-ergebnis-stimmt.html,funding_scale,https://www.tagesspiegel.de/images/3214726/alternates/BASE_16_9_W1400/1662024536000/sonnenuntergang-im-park-tempelhofer-freiheit-aufgenommen-am-29-september-2015-foto-kitty-kleist-heinrich.jpeg,Der Tagesspiegel,2026-08-16,https://yusu0326.github.io/terroir-site/p/de-0001.html
de-0002,使われなくなった港の157haに都心をもう一つ足した,HafenCity,ドイツ,ハンブルク,ハンブルク（HafenCity 地区）,1869473,25万超,空間をひらく,空き家・空き店舗・遊休不動産,2001,,継続中,デベロッパー・鉄道事業者,HafenCity Hamburg GmbH,hard,旧港湾地区157haを開発した｜洪水対策を組み込んで建てた｜地下鉄の新路線をつないだ｜ローゼ公園などの公園を置いた,2026,25,濃い,"2010年にZukunftsrat Hamburgが緑地と交通の面で自らの目標を限られた範囲でしか満たしていないと指摘し、2025年も緑と社会的混合をめぐる議論が続く。2026年時点で8,000人超が住み約15,000人が働く。",,,4,https://www.haufe.de/immobilien/entwicklung-vermarktung/projekte-deals/hamburg-hafencity-gmbh-kuendigt-drei-neue-projekte-an_254_394656.html｜https://hamburg.t-online.de/region/hamburg/id_100402614/wohnen-in-hamburg-neues-hafencity-quartier-wird-ende-2024-eroeffnet.html｜https://www.entwicklungsstadt.de/modellquartier-mit-makeln-die-hafencity-in-der-nachhaltigkeitsdebatte/｜https://hafencityzeitung.com/wir-sind-noch-nicht-fertig/,funding_scale,https://www.haufe.de/image/elbtower-und-elbphilharmonie-540602-3.jpg?width=650&digest=-WPILqNyKtx4UiDL3W5uIJyrAb0vpcsULT8cB80YNnU%3D,Haufe Immobilien,2026-08-17,https://yusu0326.github.io/terroir-site/p/de-0002.html
de-0003,全戸が3千ユーロずつ出して、村に電気と熱の網を敷いた,Feldheim,ドイツ,ブランデンブルク州,トロイエンブリーツェン（フェルトハイム地区）,137,5万人未満,お金を地域で回す,エネルギー・資源循環,2010,,継続中,混合,住民が出資した Feldheim Energie GmbH & Co. KG（Beirat が率い、住民のほぼ全員が持ち分を取得している）,hard,村が自前の熱供給網を敷いた｜同じ工事で電線も引き直した｜全戸が3千ユーロずつ出資した｜出資者が供給会社の持ち分を持った,2026,16,濃い,"2010年に村が自前の電気と熱の網を持ち、ほぼ全世帯が3,000ユーロずつ出した。2022年8月時点で電気は1キロワット時12セントで、ドイツ全体の30セント超を大きく下回っていた。2026年1月時点で年3,000人を超える視察が訪れている。",,,3,https://www.t-online.de/klima/verkehr-energie/id_100037196/wie-ein-deutsches-dorf-sich-frei-von-putin-machte.html｜https://www.nd-aktuell.de/artikel/1192012.brandenburg-feldheim-deutschlands-erstes-energieautarkes-dorf.html｜https://www.zdfheute.de/wirtschaft/energiewende-vollendet-feldheim-brandenburg-energieversorgung-autarkie-100.html,,https://www.nd-aktuell.de/img/jpeg/2400/307377,nd,2026-08-17,https://yusu0326.github.io/terroir-site/p/de-0003.html
de-0004,36万筆を集めて住民投票で勝ったが、4年たっても実行されていない,Deutsche Wohnen & Co enteignen,ドイツ,ベルリン州,ベルリン,3700577,25万超,住民が決める,住まいと暮らし（住宅・医療・福祉・子育て）,2021,,継続中,住民組織,市民発意「Deutsche Wohnen & Co enteignen」,soft,36万筆の署名を集めた｜住民投票を成立させた｜州の専門委員会に適法性を確認させた｜2度目の住民投票へ法案を自分で書いた,2025,4,濃い,36万筆の署名を経て2021年9月26日の住民投票で59.1%が大手不動産会社の社会化に賛成した。2022年12月に州の専門委員会が適法と判断したが、2024年4月時点で実行の見通しは立たず、2025年9月時点でも社会化は行われていない。運動側は2度目の住民投票に向けて自ら法案を書き、2025年9月26日に公表した。,,,4,https://www.tagesspiegel.de/berlin/zwischenerfolg-fur-deutsche-wohnen-co-enteignen-expertenkommission-halt-enteignungen-von-immobilienkonzernen-in-berlin-fur-moglich-8999791.html｜https://taz.de/Deutsche-Wohnen-Enteignen/!6003284/｜https://www.nd-aktuell.de/artikel/1185536.referendum-enteignungsvolksentscheid-berlin-prozent-sind-nicht-genug.html｜https://taz.de/Gesetz-von-Deutsche-Wohnen-enteignen/!6112510/,funding_scale,https://www.tagesspiegel.de/images/8439634/alternates/BASE_16_9_W1400/1658940772000/initiative-deutsche-wohnen-co-enteignen-beendet-unterschrift-7008.jpeg,Der Tagesspiegel,2026-08-17,https://yusu0326.github.io/terroir-site/p/de-0004.html
de-0005,いつでも引っ越せる畑を空き地に作り、10年の攻防のすえ土地を確保した,Prinzessinnengärten,ドイツ,ベルリン州,ベルリン（フリードリヒスハイン＝クロイツベルク区モーリッツ広場）,3700577,25万超,空間をひらく,農林水産・食,2009,,継続中,民間（その他）,Marco Clausen と Robert Shaw ら（州有の空き地で事業を立ち上げた運営者）,hybrid,州有の空き地に畑を作った｜いつでも動かせる形にした｜用地の売却計画を止めさせた｜別の敷地に2つ目の畑を開いた,2019,10,濃い,2009年に州有の空き地で始まり、2012年には残り1年の猶予しかない状態が報じられた。2013年に借地契約を勝ち取ったが2018年末で切れることが2017年に伝えられ、2019年12月に助成が通って土地が確保された。,true,,4,https://taz.de/Galgenfrist-fuer-Gartenprojekt/!5085747/｜https://taz.de/!5460776｜https://taz.de/Friedhoefe-oeffnen-sich-fuer-Gartenprojekte/!5569212/｜https://taz.de/Prinzessinnengaerten-in-Kreuzberg/!5643928/,funding_scale,https://taz.de/picture/2390707/1200/Gaerten.jpeg,taz,2026-08-17,https://yusu0326.github.io/terroir-site/p/de-0005.html
de-0006,クラブの運営者が協同組合を作り、川沿いの市有地を落札して村を建てた,Holzmarkt,ドイツ,ベルリン州,ベルリン（フリードリヒスハイン＝クロイツベルク区・シュプレー川沿い）,3700577,25万超,空間をひらく,空き家・空き店舗・遊休不動産,2012,,継続中,民間（その他）,Holzmarkt 協同組合（旧 Bar 25 とクラブ Kater Holzig の運営者ら）。用地の買い手はスイスの年金基金財団 Abendrot で、同組合に地上権で貸している,hard,市有地の入札を協同組合が取った｜年金基金が買い組合に地上権で貸した｜川沿いに村のような建物群を建てた｜隣接地の高層計画に反対した,2019,7,濃い,2012年10月に協同組合が市有地の入札を取り、スイスの年金基金が買って地上権で貸す形になった。2018年には運営者が黒い旗を掲げて隣接地の高層計画に抗議し、2019年の取材では建築行政の遅さと住宅政策の優先順位の変化が語られている。,true,,4,https://taz.de/!5082698｜https://taz.de/!5081564/｜https://taz.de/Probleme-beim-Bauprojekt-Holzmarkt/!5499261/｜https://taz.de/Spreeufer-fuer-alle/!5602246/,,https://taz.de/picture/191368/1200/bar25_01.jpg,taz,2026-08-17,https://yusu0326.github.io/terroir-site/p/de-0006.html
de-0007,花壇と芝生を野菜畑に変えて、誰でも摘んでよいことにした,Essbare Stadt Andernach,ドイツ,ラインラント＝プファルツ州（マイエン＝コブレンツ郡）,アンダーナッハ市,30408,5万人未満,誇りをつくる,農林水産・食,2010,,継続中,行政,アンダーナッハ市。手入れは長期失業者の労働市場への統合を行なう非営利会社が、造園と農業の資格者の指導のもとで担う,soft,城壁沿いの1.6haを野菜畑にした｜摘んでよいことを明示した｜初年に100種超のトマトを植えた｜手入れを就労統合の事業にした｜他地区と歩行者区域にも広げた,2024,14,濃い,2010年に城壁沿いの1.6ヘクタールで始まった。2019年にはEUの研究事業の先行都市に選ばれ、2021年時点で手入れは就労統合の非営利会社が担い、2024年には市が催しを開いた。,,,4,"https://www.blick-aktuell.de/Berichte/Die-Essbare-Stadt-Andernachgilt-als-weltweites-Vorbild-390151.html｜https://www.gabot.de/ansicht/andernach-die-essbare-stadt-411088.html｜https://www.rhein-zeitung.de/region/aus-den-lokalredaktionen/andernach-und-mayen_artikel,-essbare-stadt-andernach-feiert-sein-einzigartiges-projekt-unter-dem-motto-andernach-schmeckt-_arid,2671121.html｜https://www.blick-aktuell.de/Andernach/Essbare-Stadthat-Vorreiterrolle-35080.html",funding_scale,https://www.gabot.de/fileadmin/_processed_/4/a/csm_Andernach_792970f8d3.jpg,GABOT,2026-08-18,https://yusu0326.github.io/terroir-site/p/de-0007.html
de-0008,住民投票を2回かけて、全国からの寄付で自分たちの配電網を買い取った,Elektrizitätswerke Schönau,ドイツ,バーデン＝ヴュルテンベルク州（レラッハ郡）,シェーナウ・イム・シュヴァルツヴァルト市,2450,5万人未満,住民が決める,エネルギー・資源循環,1997,,継続中,住民組織,チェルノブイリ後にできた親たちの市民運動「Eltern für atomfreie Zukunft」。のちに住民の出資を協同組合 Netzkauf EWS eG に移した,soft,住民投票を2回かけて決めた｜全国からの寄付で買収費を集めた｜町の配電網を買い取った｜出資持分を協同組合に移した｜電力を全国に売って収入にした,2024,27,濃い,1997年に配電網を買い取り、2007年時点の契約者は約5万件だった。2009年11月に出資持分を協同組合に移し、2014年には創業者夫妻が退いて息子2人が理事に入った。,true,,4,https://taz.de/Oekostrom/!5198703/｜https://taz.de/Genossin-Energiewende/!358094/｜https://taz.de/Generationswechsel-bei-den-Stromrebellen/!332501/｜https://taz.de/Nachruf-auf-Aktivisten-Michael-Sladek/!6035871/,funding_scale,https://taz.de/picture/423611/1200/strom_01.jpg,taz,2026-08-18,https://yusu0326.github.io/terroir-site/p/de-0008.html
de-0009,市の経済振興公社が地元の店をまとめた通販の場をつくり、のちに店側の団体に渡した,Online City Wuppertal,ドイツ,ノルトライン＝ヴェストファーレン州,ヴッパータール市,358938,25万超,商いを起こす,デジタル・情報発信,2014,,継続中,行政,ヴッパータール市経済振興公社。2019年7月からは、このために作られた団体 talMARKT が引き継いだ。売り場の仕組みは Atalanda GmbH が提供する,soft,店をまとめた通販の場をつくった｜参加する店に講習を開いた｜当日配送と店頭受取をつけた｜実店舗の展示場所を街に置いた｜運営を店側の団体に引き渡した,2022,8,濃い,"2014年の助成で始まり、2017年には参加60店の月商合計が1,000〜1,300ユーロと報じられた。2019年7月に運営が店側の団体に移り、2022年時点でおよそ60店が参加している。",,,3,https://www.onlinehaendler-news.de/online-handel/haendler/30308-online-city-wuppertal-umsaetze-haendler-keller｜https://www.wuppertaler-rundschau.de/lokales/online-city-wuppertal-will-bekanntheitsgrad-erhoehen_aid-39554553｜https://www.blickfeld-wuppertal.de/imtal/online-city-wuppertal-kauf-an-der-wupper-nicht-am-amazonas,,http://www.wuppertaler-rundschau.de/imgs/90/5/6/8/6/7/5/1/1/tok_eba19adf848720f36203dd249f72ccf9/w800_h533_x400_y266_OnlineCityWuppertal-f16d8064fdded0ec.jpg,Wuppertaler Rundschau,2026-08-18,https://yusu0326.github.io/terroir-site/p/de-0009.html
dk-0001,郊外の駅前に共用の家つきの町を1つ作った,Nærheden,デンマーク,シェラン島,Høje-Taastrup 自治体（Hedehusene）,59059,5万〜25万,住む人を増やす・戻す,住まいと暮らし（住宅・医療・福祉・子育て）,2013,,継続中,混合,Høje-Taastrup 自治体と Realdania By & Byg のパートナーシップ,hard,駅前の土地に新しい住宅地を作った｜共用の集会所を3棟置く計画にした｜緑の帯ループを町の背骨にした｜学校と保育所と体操施設を備えた,2026,13,濃い,"2018年に最初の住民が入居し、2022年にはHøje-Taastrup自治体の純転入4.2%の半分をこの地区が占めた。2023年9月に約半数が入居、2026年1月時点で約6,000人が暮らす。",,,3,https://dagensbyggeri.dk/byggeri-og-anlaeg/ny-bydel-i-hedehusene-abner-det-forste-af-flere-modesteder/｜https://bygtek.dk/artikel/byggeri/tilflyttere-flokkes-om-nrheden｜https://dagensbyggeri.dk/byggeri-og-anlaeg/beboerhus-er-indviet-til-ny-bydel-i-hedehusene/,funding_scale,https://dagensbyggeri.dk/wp-content/uploads/2024/04/117731_1_xl.jpg,Dagens Byggeri,2026-08-17,https://yusu0326.github.io/terroir-site/p/dk-0001.html
dk-0002,ごみ焼却施設の屋根を、通年で滑れる斜面にした,Amager Bakke,デンマーク,首都地域,コペンハーゲン（アマー）,667124,25万超,空間をひらく,エネルギー・資源循環,2017,,継続中,混合,Amager Ressourcecenter（ARC）と Fonden Amager Bakke,hard,焼却施設の屋根を斜面にした｜通年で滑れる人工の面を敷いた｜屋根に緑地と歩道を通した｜建築設計競技で案を選んだ,2025,8,濃い,2017年5月に発電を始め、2019年10月に完成して落成した。2021年8月、路面の摩耗による改修費950万クローネの負担をめぐる争いから閉鎖の可能性があるとDRが報じた一方、運営者は同月、開場したまま区画ごとに張り替えると述べて閉鎖を否定した。2025年1月時点で Dezeen は年間およそ1万人が滑っていると書いている。,,,7,https://www.energy-supply.dk/article/view/617657/budgetrod_danmarks_storste_skibakke_lober_tor_for_penge_kort_for_abning｜https://ing.dk/galleri/foto-amager-bakke-aabner-endelig-her-de-tekniske-detaljer-du-skal-laegge-maerke-229248｜https://www.dr.dk/nyheder/indland/koebenhavnere-staar-paa-ski-ned-ad-forbraendingsanlaeg｜https://a-r-c.dk/om-arc/presse/om-amager-bakke/｜https://www.dr.dk/nyheder/seneste/copenhill-risikerer-lukning-frem-til-2024｜https://www.dezeen.com/2021/08/25/big-copenhill-ski-slope-amager-bakke-risks-closure/｜https://www.dezeen.com/2025/01/24/amager-bakke-big-21st-century-architecture/,,https://asset.dr.dk/drdk/drupal-images/other/2019/10/04/scanpix-20191004-191157-l.jpg?im=AspectCrop%3D%281200%2C675%29%2CxPosition%3D.5%2CyPosition%3D.5%3BResize%3D%281200%2C675%29,DR,2026-08-17,https://yusu0326.github.io/terroir-site/p/dk-0002.html
dk-0003,住民60か国分の物を集めて1本の細長い広場に並べた,Superkilen,デンマーク,首都地域,コペンハーゲン（ノアブロ）,667124,25万超,誇りをつくる,文化・アート・祭り,2012,,継続中,混合,コペンハーゲン市（ミーマスゲーゼ地区の都市更新事業の一部。美術家集団 Superflex が関与）,hard,3つの広場と公園を750mに並べた｜60ほどの国の物や什器を置いた｜赤・黒・緑の3区画に塗り分けた｜地区の都市更新事業の一部にした,2026,14,濃い,"2012年の完成直後から赤の広場の舗装が雨天に滑ると指摘され、2015年11月に舗装をやり直す議案が市の委員会にかかり、2018年に総額1,350万クローネで張り替えられた。2025年11月、地区委員会は設立から13年で複数の要素が壊れ、交換や撤去されたものがあり落書きも多いとして市に申し入れた。",,,7,https://www.magasinetkbh.dk/indhold/superkilen｜https://www.kk.dk/dagsordener-og-referater/Teknik-%20og%20Milj%C3%B8udvalget/m%C3%B8de-23112015/referat/punkt-6｜https://www.magasinetkbh.dk/indhold/den-rode-plads-er-blevet-rod-igen｜https://www.tandfonline.com/doi/abs/10.1080/13574809.2019.1622409｜https://intellectdiscover.com/content/books/9781789389616.c08｜https://www.kk.dk/dagsordener-og-referater/N%C3%B8rrebro%20Lokaludvalg/m%C3%B8de-20112025/referat/punkt-8｜https://www.dr.dk/nyheder/kultur/her-er-fire-danske-byparker-du-boer-besoege-og-en-der-slet-ikke-giver-mening,,https://www.magasinetkbh.dk/sites/default/files/public/migrated/artikel/field_artikler_stort_billede/dsc_0906_.jpg,Magasinet KBH,2026-08-17,https://yusu0326.github.io/terroir-site/p/dk-0003.html
dk-0004,小さな村どうしが束を作り、施設と活動を分け合う仕組みを広げた,Landsbyklynger,デンマーク,全土,複数の自治体（束ごとに異なる）,,不明,住む人を増やす・戻す,学校・公共施設,2015,,判定不能,財団・助成機関,Realdania・DGI・Lokale og Anlægsfonden と複数の自治体,soft,近隣の村どうしで束を作る｜束として共通の目標を立てる｜施設や活動を村どうしで分け合う｜住民主導で進め自治体が関わる｜外部の大学が評価する,2021,6,濃い,2020年6月に Realdania は、Aalborg 大学の評価が束を強い戦略の道具と結論したと発表し、地元の担い手には時間と余力が要るとも書いている。2021年11月には同大学で新しい研究が始まったと報じられた。,,true,4,https://www.altinget.dk/by/artikel/realdania-klynger-en-vej-frem-for-landsbyerne｜https://www.altinget.dk/kommunal/artikel/realdania-roser-anbefalinger-om-levedygtige-landsbyer｜https://realdania.dk/nyheder/2020/06/landsbyklynger-styrker-livet-i-den-enkelte-landsby｜https://dagensbyggeri.dk/byggeri-og-anlaeg/hvad-skal-en-god-landsby-kunne/,population_current｜population_scale｜status_current,https://cdn.realdania.dk/media/opxhi2q4/haanden-under-midtfyn-pm.jpg,Realdania,2026-08-19,https://yusu0326.github.io/terroir-site/p/dk-0004.html
dk-0005,周辺地域の「その場所にしかないもの」に絞って、財団が物を作る事業を助成した,Stedet Tæller,デンマーク,周辺地域（yderområder）,複数の自治体（事業ごとに異なる）,,不明,誇りをつくる,自然・緑地・水辺,2011,2016,終了,財団・助成機関,Realdania,hard,土地に固有の場所を選んで助成する｜具体的な物を作る事業を助成する｜自治体と地元の担い手が申請する｜設計者を公開の競技で選ぶ｜終了後に外部評価を公表する,2024,13,濃い,2019年3月の Danske Landskabsarkitekter は、2011年から2016年のキャンペーンに242件の応募があり、35件が実現したと書いている。2024年5月には、同名を継ぐ Stedet Tæller X で8件が選ばれたと報じられた。,,,4,https://dagensbyggeri.dk/arkitektur/skulpturel-leg-i-jyske-aas/｜https://dagensbyggeri.dk/arkitektur/staerke-tegnestuer-konkurrerer-om-solnedgangspladsen-i-gammel-skagen/｜https://www.landskabsarkitekter.dk/Aktuelt/evaluering-af-stedet-taeller-viser-positive-resultater/｜https://dagensbyggeri.dk/arkitektur/blaendende-ideoplaeg-skal-oge-livskvaliteten-pa-helt-saerlige-steder/,population_current｜population_scale,https://dagensbyggeri.dk/wp-content/uploads/2024/05/122454_1_xl.jpg,Dagens Byggeri,2026-08-19,https://yusu0326.github.io/terroir-site/p/dk-0005.html
dk-0006,1960年代の大きな公営住宅団地を、壊しながら住戸の組み方ごと作り替えている,Gellerupparken,デンマーク,中央ユラン地域,オーフス,,不明,住む人を増やす・戻す,住まいと暮らし（住宅・医療・福祉・子育て）,2015,,継続中,混合,Brabrand Boligforening（住宅組合）とオーフス市,hard,低層の棟を壊して棟数を減らす｜残る棟の住戸を組み替える｜各階3戸だったところを4戸にする｜1階に天井の高い住戸を入れる｜跡地に新しい街区を作る,2025,10,濃い,"Dagens Byggeri は2025年5月27日に、住宅組合と施工会社のあいだで見直した協定により、Karen Blixen Kvarteret の第1期に着手できるようになったと伝えている。同記事によれば、この街区は52,000平方メートルで578戸と3,000平方メートルの事業用の床を含み、年金基金と組んで進められる。",true,,4,https://dagensbyggeri.dk/erhverv-og-politik/gellerup-nedrivning-naesten-tilendebragt/｜https://dagensbyggeri.dk/renovering/budget-13-mia-kr-omdanner-600-gellerup-boliger-til-750/｜https://dagensbyggeri.dk/byggeri-og-anlaeg/starter-nu-600-lejligheder-omdannes-til-750-i-gellerupparken/｜https://dagensbyggeri.dk/byggeri-og-anlaeg/aftale-sikrer-opstart-paa-foerste-etape-af-karen-blixen-kvarteret-i-gellerup/,population_current｜population_scale,https://dagensbyggeri.dk/wp-content/uploads/2025/05/gellerup-1-Foto-Brabrand-Boligforening.jpg,Dagens Byggeri,2026-08-19,https://yusu0326.github.io/terroir-site/p/dk-0006.html
ec-0001,市が住民に菜園のつくり方を教え続け、余った分を売る有機農産物の直売市をひらいた,Proyecto de Agricultura Urbana Participativa,エクアドル,ピチンチャ県,キト首都特別区,,25万超,お金を地域で回す,農林水産・食,2002,,継続中,行政,キト首都特別区自治体（経済振興公社 ConQuito の事業として実施）,hybrid,住居のパティオと屋上に菜園をつくる｜技術者が菜園を訪ねて講習する｜余った分を売る有機農産物の直売市をひらく｜木箱やタイヤを栽培の容器に使う｜学校や老人ホームにも菜園を広げる,2025,23,濃い,"キト首都特別区自治体は2025年5月3日に、23年間で5,271の菜園と3,170の生産設備をつくり、147,000人を超える人が直接の受益者になったと書いている。同じ広報によれば、いま活動している受益者は5,500人で、生産している菜園はおよそ2,215である。",,true,7,https://habitat.aq.upm.es/dubai/14/bp0022.html｜https://www.elcomercio.com/actualidad/quito/quitenos-huertos-hogares/｜https://www.futurepolicy.org/global/quito-agrupar/｜https://www.elcomercio.com/tendencias/huerto-urbano-departamento-quito-agricultura/｜https://www.expreso.ec/actualidad/huertos-urbanos-toman-capital-93682.html｜https://www.quitoinforma.gob.ec/2022/06/27/agricultura-urbana-un-proyecto-que-tiene-20-anos-de-vida-y-buenos-resultados/｜https://www.quitoinforma.gob.ec/2025/05/03/huertos-urbanos-en-quito-agrupar-lleva-mas-de-147-mil-beneficiarios/,population_current,https://www.quitoinforma.gob.ec/wp-content/uploads/2025/05/agruparcumple-23-aos.jpeg,Quito Informa（キト首都特別区自治体）,2026-08-20,https://yusu0326.github.io/terroir-site/p/ec-0001.html
es-0001,43年の住民運動の末に旧繊維工場を受け取り、住民が自分たちで運営している,Can Batlló,スペイン,カタルーニャ州,バルセロナ（サンツ=ムンジュイック区ラ・ボルデタ地区）,1732066,25万超,住民が決める,空き家・空き店舗・遊休不動産,2011,,継続中,住民組織,Plataforma Recuperem Can Batlló ／ Assemblea de Can Batlló（ラ・ボルデタの住民組織）,hybrid,旧繊維工場の建物を住民に開いた｜一か月後に住民運営の図書館を開いた｜市の委員会が長期の譲渡を議決した｜敷地に協同組合の拠点を置いた,2025,14,濃い,2011年6月に住民が敷地に入り、2014年には3年目が報じられた。2019年3月に市の経済委員会が30年（最長50年）の譲渡を承認し、2069年までの管理が住民側に渡った。2025年には敷地内の協同組合拠点が1年目を迎えている。,,,5,https://beteve.cat/societat/can-batllo-aniversari-autogestio-veins-sants/｜https://www.publico.es/sociedad/gestion-comunitaria-echa-fuertes-raices-barcelona.html｜https://beteve.cat/societat/can-batllo-gestio-entitats-veinals-cessio-ajuntament-50-anys/｜https://www.publico.es/public/coronavirus-apaga-flama-can-batllo.html｜https://beteve.cat/economia/bloc4bcn-celebra-primer-any-cooperacio-can-batllo/,funding_scale,https://img.beteve.cat/wp-content/uploads/2014/06/110614brindisR.jpg,betevé,2026-08-17,https://yusu0326.github.io/terroir-site/p/es-0001.html
es-0002,市営屠畜場だった建物群を、棟ごとに文化施設へ変えていった,Matadero Madrid,スペイン,マドリード州,マドリード（アルガンスエラ区）,3527924,25万超,空間をひらく,空き家・空き店舗・遊休不動産,2006,,継続中,行政,マドリード市（Ayuntamiento de Madrid）。運営は市の文化事業会社 Madrid Destino,hybrid,市営屠畜場の建物を文化施設に変えた｜棟ごとに段階的に改修して開いた｜運営を市の文化事業会社に委ねた｜一棟を10年の事業権で民間に貸した,2026,20,濃い,敷地は2006年に文化施設として開いた。2022年に一棟が有料の常設展示に貸し出されて運営方針の変化が報じられ、2024年には建物の完成から100年の催しが行われた。2026年には敷地の過去をめぐる記録の掘り起こしが報じられている。,true,,3,https://www.eldiario.es/madrid/matadero-abre-cultura-pago_1_8854659.html｜https://www.eldiario.es/guia-ocio/matadero-madrid-celebra-centenario-20-actividades-gratuitas-experiencia-inmersiva_1_11759686.html｜https://www.eldiario.es/madrid/somos/arganzuela/vecinos-academicos-artistas-recuperan-memoria-matadero-espacio-represion-murieron-838-mendigos_1_12909210.html,funding_scale,https://static.eldiario.es/clip/d553f365-4fd8-4542-9911-c7acae9034d1_facebook-watermarked-aspect-ratio-1200-675_default_0.jpg,elDiario.es,2026-08-17,https://yusu0326.github.io/terroir-site/p/es-0002.html
es-0003,市の計画づくりを、対面の会合とネット上の場を組み合わせて住民に開いた,decidim.barcelona,スペイン,カタルーニャ州,バルセロナ,1732066,25万超,住民が決める,デジタル・情報発信,2016,,継続中,行政,バルセロナ市（Ajuntament de Barcelona）,soft,市の計画案をネット上に公開した｜対面の会合を約300回組んだ｜提案への賛同を数えて示した｜参加型予算の投票に使った,2024,8,濃い,"2016年2月に市の計画づくりの場として始まり、同年4月には登録2万2,600人・提案1万300件と報じられた。2017年に機能が加えられ、2024年には参加型予算の2回目に使われている。1回目は約7万人が加わって76事業が採択されたと報じられた。",,,5,https://www.publico.es/espana/web-facilita-proceso-participativo-planes.html｜https://beteve.cat/politica/proces-participatiu-decidim-barcelona-tanca-22-600-usuaris-plataforma-digital-pam-pad/｜https://www.vilaweb.cat/noticies/barcelona-inclou-nous-canvis-en-la-plataforma-participativa-decidim-barcelona/｜https://www.eldiario.es/tecnologia/clicktivismo-radicalidad-democratica_1_1756851.html｜https://www.elnacional.cat/es/barcelona/barcelona-destinara-30-millones-euros-segunda-edicion-presupuestos-participativos_1295409_102.html,funding_scale,https://static.eldiario.es/clip/c5a434d2-9c05-485b-9941-b42c1b05dbb5_facebook-watermarked-aspect-ratio-1200-675_default_0.jpg,elDiario.es,2026-08-17,https://yusu0326.github.io/terroir-site/p/es-0003.html
es-0004,学校の校庭を、授業のない時間と休暇のあいだ、まちに開けた,Patis Escolars Oberts al Barri,スペイン,カタルーニャ州,バルセロナ,1732066,25万超,空間をひらく,学校・公共施設,,,継続中,行政,バルセロナ市（Ajuntament de Barcelona）,soft,学校の校庭を授業外に開けた｜見守りの担当をつけて開閉した｜市立保育所の園庭も加えた｜休暇期間にも開けるようにした,2023,,濃い,開始年は出典から確認できず、報道は2013年から2023年にわたる。2021年に感染症対策の中断から再開し、同年から夏休み中も開くようになった。同年11月に市立保育所4か所が加わり、2023年のイースター休暇には37か所が開いた。,true,,4,https://beteve.cat/societat/patis-oberts-barri-escoles/｜https://beteve.cat/societat/barcelona-torna-obrir-patis-caps-setmana/｜https://beteve.cat/societat/quatre-escoles-bressol-incorporen-patis-oberts-escolars/｜https://beteve.cat/politica/obren-patis-12-escoles-barcelona-setmana-santa-2023/,start_year｜elapsed_years｜funding_scale,https://img.beteve.cat/wp-content/uploads/2021/05/IMG_1703-1.jpg,betevé,2026-08-17,https://yusu0326.github.io/terroir-site/p/es-0004.html
